ticker,benchmark,note
AAPL,NDX,Apple
MSFT,NDX,Microsoft
GOOGL,NDX,Alphabet
AMZN,NDX,Amazon
NVDA,NDX,Nvidia
META,NDX,Meta
TSLA,NDX,Tesla
AVGO,NDX,Broadcom
COST,NDX,Costco
NFLX,NDX,Netflix
BRK-B,SPX,Berkshire
JPM,SPX,JPMorgan
V,SPX,Visa
MA,SPX,Mastercard
UNH,SPX,UnitedHealth
XOM,SPX,Exxon
JNJ,SPX,Johnson & Johnson
WMT,SPX,Walmart
PG,SPX,Procter & Gamble
HD,SPX,Home Depot
AMD,NDX,AMD
ASML,NDX,ASML
BA,SPX,Boeing
GS,SPX,Goldman Sachs
IBM,SPX,IBM
LLY,SPX,Eli Lilly
MS,SPX,Morgan Stanley
MU,NDX,Micron
NOW,SPX,ServiceNow
PFE,SPX,Pfizer
SKHY,SPX,SK hynix
SMH,NDX,Semiconductor ETF
SPCX,SPX,SpaceX
SPY,SPX,S&P 500 ETF
TSM,SPX,TSMC
WBD,NDX,Warner Bros. Discovery
AXP,SPX,American Express
ORCL,SPX,Oracle
